Date,oil_production
5/18/01,5785
5/11/01,5780
5/4/01,5831
4/27/01,5884
4/20/01,5861
4/13/01,5855
4/6/01,5867
3/30/01,5883
3/23/01,5868
3/16/01,5883
3/9/01,5868
3/2/01,5876
2/23/01,5875
2/16/01,5857
2/9/01,5866
2/2/01,5929
1/26/01,5935
1/19/01,5912
1/12/01,5949
1/5/01,5944
12/29/00,5903
12/22/00,5875
12/15/00,5897
12/8/00,5903
12/1/00,5925
11/24/00,5883
11/17/00,5854
11/10/00,5889
11/3/00,5903
10/27/00,5894
10/20/00,5880
10/13/00,5864
10/6/00,5867
9/29/00,5862
9/22/00,5680
9/15/00,5803
9/8/00,5802
9/1/00,5783
8/25/00,5782
8/18/00,5773
8/11/00,5745
8/4/00,5778
7/28/00,5764
7/21/00,5769
7/14/00,5788
7/7/00,5766
6/30/00,5732
6/23/00,5726
6/16/00,5791
6/9/00,5804
6/2/00,5704
5/26/00,5784
5/19/00,5793
5/12/00,5757
5/5/00,5798
4/28/00,5838
4/21/00,5836
4/14/00,5840
4/7/00,5820
3/31/00,5873
3/24/00,5863
3/17/00,5859
3/10/00,5857
3/3/00,5974
2/25/00,6007
2/18/00,5989
2/11/00,5994
2/4/00,6011
1/28/00,5988
1/21/00,6013
1/14/00,6019
1/7/00,6000
12/31/99,6043
12/24/99,6058
12/17/99,6043
12/10/99,6057
12/3/99,6087
11/26/99,6006
11/19/99,6059
11/12/99,6128
11/5/99,6134
10/29/99,6111
10/22/99,6101
10/15/99,6090
10/8/99,6082
10/1/99,6032
9/24/99,5973
9/17/99,5692
9/10/99,5917
9/3/99,6014
8/27/99,5994
8/20/99,5970
8/13/99,5950
8/6/99,5925
7/30/99,5898
7/23/99,5927
7/16/99,5952
7/9/99,5808
7/2/99,5662
6/25/99,5884
6/18/99,5926
6/11/99,5868
6/4/99,5864
5/28/99,5845
5/21/99,5857
5/14/99,5804
5/7/99,5835
4/30/99,5877
4/23/99,5707
4/16/99,5849
4/9/99,5740
4/2/99,5879
3/26/99,5864
3/19/99,5894
3/12/99,5895
3/5/99,5920
2/26/99,5911
2/19/99,5899
2/12/99,6052
2/5/99,6369
1/29/99,6363
1/22/99,6352
1/15/99,6373
1/8/99,6393
1/1/99,6342
12/25/98,6437
12/18/98,6449
12/11/98,6390
12/4/98,6390
11/27/98,6401
11/20/98,6399
11/13/98,6401
11/6/98,6398
10/30/98,6417
10/23/98,6442
10/16/98,6418
10/9/98,6368
10/2/98,5950
9/25/98,6396
9/18/98,6411
9/11/98,6366
9/4/98,6349
8/28/98,6346
8/21/98,6315
8/14/98,6319
8/7/98,6336
7/31/98,6340
7/24/98,6354
7/17/98,6351
7/10/98,6354
7/3/98,6311
6/26/98,6269
6/19/98,6383
6/12/98,6372
6/5/98,6333
5/29/98,6346
5/22/98,6368
5/15/98,6378
5/8/98,6422
5/1/98,6422
4/24/98,6397
4/17/98,6417
4/10/98,6407
4/3/98,6443
3/27/98,6405
3/20/98,6336
3/13/98,6420
3/6/98,6440
2/27/98,6368
2/20/98,6415
2/13/98,6424
2/6/98,6412
1/30/98,6377
1/23/98,6359
1/16/98,6376
1/9/98,6430
1/2/98,6459
12/26/97,6462
12/19/97,6463
12/12/97,6440
12/5/97,6448
11/28/97,6416
11/21/97,6390
11/14/97,6385
11/7/97,6418
10/31/97,6400
10/24/97,6407
10/17/97,6408
10/10/97,6371
10/3/97,6375
9/26/97,6396
9/19/97,6366
9/12/97,6393
9/5/97,6362
8/29/97,6400
8/22/97,6387
8/15/97,6221
8/8/97,6127
8/1/97,6360
7/25/97,6337
7/18/97,6352
7/11/97,6351
7/4/97,6338
6/27/97,6357
6/20/97,6334
6/13/97,6415
6/6/97,6435
5/30/97,6439
5/23/97,6423
5/16/97,6426
5/9/97,6430
5/2/97,6409
4/25/97,6465
4/18/97,6412
4/11/97,6433
4/4/97,6493
3/28/97,6409
3/21/97,6391
3/14/97,6449
3/7/97,6440
2/28/97,6501
2/21/97,6496
2/14/97,6502
2/7/97,6483
1/31/97,6505
1/24/97,6513
1/17/97,6476
1/10/97,6499
1/3/97,6454
12/27/96,6506
12/20/96,6523
12/13/96,6518
12/6/96,6534
11/29/96,6538
11/22/96,6512
11/15/96,6531
11/8/96,6541
11/1/96,6513
10/25/96,6514
10/18/96,6523
10/11/96,6485
10/4/96,6485
9/27/96,6520
9/20/96,6467
9/13/96,6498
9/6/96,6497
8/30/96,6526
8/23/96,6481
8/16/96,6445
8/9/96,6286
8/2/96,6297
7/26/96,6394
7/19/96,6345
7/12/96,6499
7/5/96,6499
6/28/96,6489
6/21/96,6452
6/14/96,6515
6/7/96,6421
5/31/96,6392
5/24/96,6412
5/17/96,6363
5/10/96,6065
5/3/96,6454
4/26/96,6173
4/19/96,6425
4/12/96,6390
4/5/96,6441
3/29/96,6440
3/22/96,6473
3/15/96,6490
3/8/96,6461
3/1/96,6496
2/23/96,6501
2/16/96,6511
2/9/96,6505
2/2/96,6413
1/26/96,6405
1/19/96,6516
1/12/96,6498
1/5/96,6464
12/29/95,6474
12/22/95,6467
12/15/95,6411
12/8/95,6428
12/1/95,6450
11/24/95,6484
11/17/95,6493
11/10/95,6516
11/3/95,6539
10/27/95,6512
10/20/95,6497
10/13/95,6404
10/6/95,6215
9/29/95,6450
9/22/95,6414
9/15/95,6248
9/8/95,6491
9/1/95,6507
8/25/95,6483
8/18/95,6475
8/11/95,6476
8/4/95,6444
7/28/95,6484
7/21/95,6417
7/14/95,6448
7/7/95,6518
6/30/95,6545
6/23/95,6529
6/16/95,6560
6/9/95,6593
6/2/95,6592
5/26/95,6626
5/19/95,6598
5/12/95,6610
5/5/95,6604
4/28/95,6539
4/21/95,6603
4/14/95,6597
4/7/95,6554
3/31/95,6380
3/24/95,6474
3/17/95,6632
3/10/95,6598
3/3/95,6660
2/24/95,6546
2/17/95,6613
2/10/95,6595
2/3/95,6662
1/27/95,6526
1/20/95,6571
1/13/95,6672
1/6/95,6651
12/30/94,6675
12/23/94,6703
12/16/94,6655
12/9/94,6670
12/2/94,6472
11/25/94,6626
11/18/94,6668
11/11/94,6616
11/4/94,6620
10/28/94,6633
10/21/94,6703
10/14/94,6703
10/7/94,6692
9/30/94,6640
9/23/94,6595
9/16/94,6526
9/9/94,6545
9/2/94,6552
8/26/94,6583
8/19/94,6540
8/12/94,6521
8/5/94,6582
7/29/94,6566
7/22/94,6522
7/15/94,6618
7/8/94,6591
7/1/94,6604
6/24/94,6656
6/17/94,6648
6/10/94,6530
6/3/94,6695
5/27/94,6629
5/20/94,6732
5/13/94,6657
5/6/94,6706
4/29/94,6748
4/22/94,6292
4/15/94,6711
4/8/94,6641
4/1/94,6683
3/25/94,6599
3/18/94,6728
3/11/94,6704
3/4/94,6763
2/25/94,6792
2/18/94,6546
2/11/94,6802
2/4/94,6836
1/28/94,6886
1/21/94,6845
1/14/94,6880
1/7/94,6875
12/31/93,6857
12/24/93,6854
12/17/93,6897
12/10/93,6923
12/3/93,6943
11/26/93,6878
11/19/93,6847
11/12/93,6882
11/5/93,6872
10/29/93,6868
10/22/93,6837
10/15/93,6772
10/8/93,6654
10/1/93,6684
9/24/93,6650
9/17/93,6706
9/10/93,6665
9/3/93,6734
8/27/93,6790
8/20/93,6774
8/13/93,6761
8/6/93,6753
7/30/93,6730
7/23/93,6540
7/16/93,6643
7/9/93,6772
7/2/93,6742
6/25/93,6749
6/18/93,6766
6/11/93,6817
6/4/93,6789
5/28/93,6842
5/21/93,6818
5/14/93,6846
5/7/93,6902
4/30/93,6913
4/23/93,6912
4/16/93,6896
4/9/93,6883
4/2/93,6971
3/26/93,6964
3/19/93,6979
3/12/93,6981
3/5/93,7018
2/26/93,6981
2/19/93,6960
2/12/93,7033
2/5/93,7031
1/29/93,7035
1/22/93,7043
1/15/93,6994
1/8/93,7015
1/1/93,6995
12/25/92,7053
12/18/92,7098
12/11/92,7087
12/4/92,7074
11/27/92,7064
11/20/92,6987
11/13/92,6954
11/6/92,7011
10/30/92,7041
10/23/92,7036
10/16/92,7032
10/9/92,7011
10/2/92,7046
9/25/92,7049
9/18/92,7012
9/11/92,6955
9/4/92,6847
8/28/92,6678
8/21/92,7120
8/14/92,6990
8/7/92,7124
7/31/92,7059
7/24/92,7095
7/17/92,7144
7/10/92,7125
7/3/92,7221
6/26/92,7194
6/19/92,7218
6/12/92,7228
6/5/92,7240
5/29/92,7219
5/22/92,7205
5/15/92,7160
5/8/92,7248
5/1/92,7235
4/24/92,7238
4/17/92,7353
4/10/92,7277
4/3/92,7327
3/27/92,7283
3/20/92,7324
3/13/92,7345
3/6/92,7357
2/28/92,7365
2/21/92,7329
2/14/92,7364
2/7/92,7382
1/31/92,7357
1/24/92,7343
1/17/92,7235
1/10/92,7410
1/3/92,7422
12/27/91,7449
12/20/91,7451
12/13/91,6731
12/6/91,7376
11/29/91,7226
11/22/91,7388
11/15/91,7426
11/8/91,7140
11/1/91,7359
10/25/91,7384
10/18/91,7381
10/11/91,7387
10/4/91,7381
9/27/91,7365
9/20/91,7327
9/13/91,7267
9/6/91,7150
8/30/91,7274
8/23/91,7215
8/16/91,7302
8/9/91,7228
8/2/91,7342
7/26/91,7355
7/19/91,7348
7/12/91,7365
7/5/91,7383
6/28/91,7377
6/21/91,7338
6/14/91,7359
6/7/91,7301
5/31/91,7323
5/24/91,7336
5/17/91,7280
